Engleza,Romana
Nobody can escape death.,Nimeni nu poate evita moartea.
I thought he was an American but he turned out to be an Englishman.,"Credeam că el era american, dar de fapt el era englez."
We often talked about Japanese politics.,Am vorbit deseori despre politica japoneză.
There is a river beside the house.,E un râu pe lângă casă.
Pungent fumes arose from the chemical mixture.,Vapori caustici au ieșit din amestecul de substanțe.
Is it true that you are going to study in London?,E adevărat că o să studiezi la Londra?
The baby was sound asleep.,Bebelușul dormea buștean.
I need a nurse now.,Acum am nevoie de o asistentă medicală.
Business is business.,Afacerile sunt afaceri.
The president was forced to return to Washington.,Președintele a fost obligat să se reîntoarcă la Washington.
I must be there before 7:00.,Trebuie să fiu acolo până la ora 07.00.
I was skeptical.,Am fost sceptic.
She wrote 5 novels in 5 years.,Ea a scris 5 romane în 5 ani.
I'm already bored.,Sunt deja plictisit.
The weather got cold.,Vremea s-a făcut rece.
I no longer live in Boston.,Nu mai locuiesc în Boston.
President Van Buren was troubled.,Preşedintele Van Buren era neliniştit.
My house needs major repairs.,Casa mea are nevoie de reparații majore.
Look someplace else.,Uită-te în altă parte.
He could not sleep because of the heat.,Nu a putut dormi din cauza căldurii.
It's getting warmer every day.,Se încălzește în fiecare zi.
What's this flower called in French?,Cum se zice la această floare în franceză?
Who built it?,Cine l-a construit?
The most dangerous thing Tom ever wanted to try to do was to hold a poisonous snake.,Cel mai periculos lucru pe care Tom a vrut vreodată să încerce să-l facă a fost să țină în mână un șarpe veninos.
I had plenty of time to talk to many friends.,Am avut destul timp ca să vorbesc cu mulți prieteni.
Tom lacks confidence in himself.,Lui Tom îi lipsește încrederea în sine.
Mary is the girl of my dreams.,Mary este fata visurilor mele.
Please forgive me for being late.,"Te rog, iartă-mă că am întârziat."
I'm not a magician.,Nu sunt un magician.
Don't ask what they think. Ask what they do.,Nu întreba ce cred ei. Întreabă ce fac ei.
Does it sound good to you?,E bine asa?
He made an abrupt departure.,El a plecat brusc.
I assume at some point Tom will just give up.,"Presupun că la un moment dat, Tom va renunța."
I work a lot.,Muncesc mult.
I forgot to turn off the TV before going to bed.,Am uitat să opresc televizorul înainte de a ma duce la culcare.
Please tell everyone I'm sorry.,Te rog spune-le tuturor că îmi pare rău.
How fast can you do it?,Cât de repede poți să o faci?
There was nothing left in the refrigerator.,Nu mai rămăsese nimic în frigider.
There was a list of available candidates.,Era o listă cu candidații disponibili.
Tom gave a cry of dismay.,Tom a strigat cu groază.
I don't study after school.,Nu învăţ acasă.
"Every Sunday afternoon, I go to the bazaar.",În fiecare duminică după-amiaza merg la târg.
He is accustomed to the work.,El este obișnuit cu munca.
He went by me without noticing me.,A trecut pe lângă mine fără să mă observe.
They are peace-loving people.,Ei sunt oameni care iubesc pacea.
I like your country a lot.,Îmi place mult țara ta.
There's a possibility that Tom will be late.,E o posibilitate ca Tom să întârzie.
Mary is my niece.,Mary este nepoata mea.
I learned a lot from his books.,Am învăţat multe din cărţile lui.
When is school over?,Când se termină școala?
I don't care how much it itches. Don't scratch it.,Nu-mi pasă cât de mult te mănâncă. Nu o scărpina.
I didn't have the guts to do that.,Nu am avut nervii să fac asta.
Ethics is a branch of philosophy.,Etica este o ramură a filozofiei.
Today is my birthday.,Astăzi este ziua mea.
What do you mean?,Ce vrei să spui?
Anything could happen.,Orice se poate întâmpla.
I guessed her to be 40 years old.,Am ghicit că ea are 40 de ani.
He plays the piano well.,El cântă bine la pian.
Please refrain from smoking.,Te rog să te abții de la fumat.
There was nothing to do but wait until the next morning.,Nu era nimic de făcut decât să așteptăm până dimineața următoare.
I didn't agree to help Tom.,N-am fost de acord să-l ajutăm pe Tom.
Tom soon followed suit.,Tom a urmat exemplul îndată.
I hope that neither of them was involved in the traffic accident.,Sper că niciunul dintre ei nu a fost implicat în accidentul rutier.
They went crazy.,Au înnebunit.
Tom doesn't need to worry about Mary.,Tom nu trebuie să-și facă griji legate de Mary.
What's your favorite breed of dog?,Care e rasa ta favorită de câini?
"I go by the nickname ""Itch.""","Porecla mea este ""Itch""."
We really don't know.,Chiar nu știm.
She is no ordinary singer.,Ea nu este o cântăreață obișnuită.
She called me many times.,Ea m-a strigat de mai multe ori.
The police persuaded the criminal to surrender his weapon.,Poliția a convins criminalul să-și predea arma.
This is a major environmental disaster.,Acesta este un dezastru ecologic major.
Tom insisted on going there.,Tom a insistat să meargă acolo.
I found the new magazine very interesting.,Noua revistă mi s-a părut foarte interesantă.
I couldn't have done it alone.,N-aș fi putut să o fac singur.
There are abundant food supplies.,Există surse de hrană abundente.
It's totally worth a shot.,"Pe bune, merită o incercare."
Isn't that your job?,Nu asta este treaba ta?
You don't know who I am.,Nu știi cine sunt.
How did this misunderstanding ever arise?,Cum a apărut această neînțelegere?
Why don't you update your website?,De ce nu îți actualizezi site-ul?
Only time will tell if he was right.,Doar timpul va spune dacă el a avut dreptate.
We were saved by the bell.,Am fost salvați de clopoțel.
Tom should have told Mary right away that he wasn't single.,Tom ar fi trebuit să-i spună lui Mary de la bun început că el nu este singur.
Does school start at eight-thirty?,Şcoala începe la opt treizeci?
Smile.,Zâmbește.
He isn't lonely anymore.,El nu se mai simte singur.
The cause of the fire is not known.,Cauza incendiului nu este cunoscută.
Sometimes guys can be really stupid.,Câteodată băieții se comportă foarte stupid.
I don't have a clue.,Nu am niciun indiciu.
"I accept, but only on one condition.","De acord, dar doar cu o singură condiție."
Her son called from New York.,Fiul ei a sunat din New York.
The file is corrupt.,Fișierul e corupt.
Your hair is too long.,Părul tău e prea lung.
I ran upstairs two steps at a time.,"Am fugit la etaj, sărind două trepte deodată."
"This is my brother. Handsome, isn't he?","Ăsta e fratele meu. Chipeș, nu?"
Today I'm online.,Astăzi sunt on-line.
When will we arrive?,Când ajungem?
The policeman apprehended the murderer and handcuffed him.,Poliţistul a arestat criminalul şi l-a încătuşat.
The birds were hungry.,Păsărilor le era foame.
Let the celebrations begin.,Să înceapă petrecerea.
Trade friction might arise between the nations at any moment.,Pot să apară neînțelegeri comerciale între națiuni în orice moment.
He was not aware of the danger.,El nu a fost conștient de pericol.
"Tom abuses his authority, so no one likes him.","Tom abuzează de autoritatea sa, așa că nimeni nu-l place."
I'd like to see my son.,Aş dori să-mi văd fiul.
The assessment is being contested.,Evaluarea este contestată.
It's a tremendous deal.,Asta este o afacere extraordinară.
Eat a lot of vegetables.,Mănâncă multe legume.
The party was a marked success.,Petrecerea a fost un succes considerabil.
A bad writer's prose is full of hackneyed phrases.,Proza proastă a unui scriitor este plină de fraze banale.
Do you know who painted this picture?,Știi cine a pictat acest tablou?
We need your help.,Avem nevoie de ajutorul tău.
Tom's blood type is O negative.,Grupa de sânge a lui Tom e 0 negativ.
I wonder if Tom really knows French.,Mă întreb dacă Tom chiar știe franceză.
Tom doesn't know why Mary didn't come to the party.,Tom nu știe de ce Mary nu a venit la petrecere.
Please remember to mail this letter on your way to school.,Te rog să-ți aduci aminte să pui această scrisoare la poștă în drum spre școală.
I have some doubts about it.,Am ceva îndoieli despre asta.
Tom is watering his garden.,Tom își udă grădina.
I don't take needless risks.,Nu-mi iau riscuri inutile.
I'm eating an apple.,Mănânc un măr.
Tom had a little trouble adjusting the settings.,Tom a avut ceva probleme la ajustarea setărilor.
I didn't notice.,Nu am observat.
The choice is still yours.,Alegerea e încă a ta.
Just give it to me.,Doar dă-mi-o.
We now know that the testimony he gave was coerced.,Acum știm că mărturia pe care a dat-o a fost una forțată.
I want to rest.,Vreau să mă odihnesc.
The benefits outweigh the costs.,Beneficiile depășesc costurile.
I'd like to play tennis.,Mi-ar plăcea să joc tenis.
Can you help me for just a minute?,Mă poți ajuta doar pentru un minut?
My primary concern is your safety.,Preocuparea mea principală este siguranța ta.
Imported cars are in strong demand.,E o cerere mare pentru mașinile de import.
His father calls him Tom.,Tatăl lui îi zice Tom.
Tom doesn't mind what people say about Mary.,Pe Tom nu-l deranjează ce spun oamenii despre Mary.
I ordered pizza.,Am comandat pizza.
I was thinking of the same thing.,Mă gândeam la același lucru.
Tom poured some wine into a glass.,Tom turnă ceva vin într-un pahar.
The Indians were not happy with this agreement.,Indienii nu au fost mulțumiți cu această înțelegere.
There's no way I can make it up to you.,E imposibil să mă revanşez faţă de tine.
He has a hard time remembering names.,El are mari greutăți în a-și aminti nume.
I doubt if he will come.,Mă îndoiesc că va veni.
"If the sun were to go out, all living things would die.","Dacă soarele s-ar stinge, toate vieţuitoarele ar muri."
Don't judge a book by its cover.,Nu judeca o carte după copertă.
What do I owe?,Ce datorez?
That woman must be his wife.,Acea femeie trebuie să fie nevasta lui.
Who brought this?,Cine a adus asta?
I wouldn't be so sure about that.,N-aş fi atât de sigur de asta.
"Because of your advice, I was able to succeed.","Datorită sfatului dumneavoastră, am reuşit."
I was at home.,Eram acasă.
I'd like a double room.,Aș dori o cameră cu două paturi.
I assume you've read my report.,Presupun că mi-ai citit raportul.
I'm sure you'll succeed.,Sunt sigur că vei reuși.
I wouldn't have done that if I were you.,Nu aș face asta dacă aș fi în locul tău.
Cities and provinces along the Yangtze River in central China are grappling with the country's worst drought in more than 50 years.,Orașele și provinciile de-a lungul râului Yangtze din China centrală se luptă cu cea mai rea secetă a țării din ultimii 50 de ani.
I shouldn't have said that.,N-ar fi trebuit să spun asta.
She wrapped herself in a blanket.,S-a înfăşurat în pătură.
I found that absolutely shocking.,Mi s-a părut cu adevărat șocant.
"So, what's the problem?","Deci, care e problema?"
"At first, I didn't like it, but it gradually became fun.","La început nu mi-a plăcut, dar treptat a devenit distractiv."
Tom is downstairs.,Tom este cu un etaj mai jos.
You're making progress.,Faci progrese.
You are a good boy.,Ești un băiat bun.
There is a monster under my bed.,Este un monstru sub patul meu.
Is this real silver?,Este ăsta argint adevărat?
Tom blushed.,Tom a roșit.
"We didn't run fast, but kept up a good steady pace.","Noi nu am alergat repede, doar am ținut un ritm constant."
The capital of Poland is Warsaw.,Capitala Poloniei este Varşovia.
There is a gold coin.,Există o monedă de aur.
I lost my receipt. Can I still get a refund?,Mi-am pierdut chitanţa. Mai pot primi banii înapoi?
"That's true, too.","Asta e adevărat, de asemenea."
Let's get moving.,Să pornim.
Tom slipped on the icy sidewalk.,Tom a alunecat pe trotuarul înghețat.
Hold the handrail.,Ţine-te de balustradă.
Can't we just stroll around the park?,Nu ne putem plimba în jurul parcului?
This necklace is a family heirloom.,Acest colier este o moștenire de familie.
Tom didn't mean to be so late.,Tom nu a intenţionat să întârzie atât de mult timp.
I live on the ground floor.,Eu locuiesc la parter.
Some of the tariffs were as high as sixty percent.,Unele dintre taxe ajungeau și la 60%.
She had a great attachment to that old house.,Ea a avut un mare atașament pentru acea casă veche.
I hope it will be fine tomorrow.,Sper că va fi frumos mâine.
He works for his living.,El muncește ca să se întrețină.
Do you want me to tell you what Tom did?,Vrei să-ți spun ce a făcut Tom?
This is where the accident happened.,Aici s-a întâmplat accidentul.
There is little water in the bucket.,E puţină apă în găleată.
I have two brothers.,Am 2 frați.
Are you waiting for someone?,Aștepți pe cineva?
You were late yesterday.,Ai întârziat ieri.
Suicide is an act of desperation.,Sinuciderea este un act de disperare.
The girl exercised on the parallel bars.,Fata s-a antrenat la paralele.
It's worth it.,Merită.
Nobody noticed that the picture was hung upside down.,Nimeni nu a observat că tabloul a fost agățat cu susul în jos.
It depends on you.,E alegerea ta.
Tom is Mary's first cousin.,Tom este verișorul primar al lui Mary.
He stood behind me.,El stătea în spatele meu.
Who are you laughing at?,De cine râzi?
Neither one is acceptable.,Niciunul nu este acceptabil.
They wanted protection.,Ei voiau protecție.
I can't live without a TV.,Nu pot trăi fără televizor.
Tom can't even read.,Tom nici măcar nu poate citi.
"Today, most people in the world condemn slavery.","Astăzi, cei mai multți oameni din lume condamnă sclavia."
Let's talk about safety.,Să vorbim despre siguranță.
I have nothing to say in this regard.,Nu am nimic de spus în această privință.
Tom doesn't mind lending Mary money.,Pe Tom nu-l deranjează să-i împrumute bani lui Mary.
My father was busy.,Tatăl meu a fost ocupat.
I had an asthma attack.,Am avut o criză de astm.
You're an angel!,Ești un înger!
School was exciting.,Şcoala era interesantă.
You will be held accountable.,Veți fi trași la răspundere.
You can probably guess what happens though.,Probabil puteți totuși ghici ce se întâmplă.
The storm has died down.,Furtuna s-a potolit.
Let's rest here.,Să ne odihnim aici.
Why are you guys so angry?,"De ce sunteţi, băieţi, aşa de supăraţi?"
Is that a bus or a car?,Ăsta e un autobuz sau o mașină?
A mother's advice would outweigh a friend's.,Sfatul unei mame cântărește mai greu decât cel al unui prieten.
The presidential election of 1876 was very close.,Alegerile prezidențiale din 1876 au fost foarte strânse.
Hard work is the price of success.,Munca grea este prețul succesului.
The light is on.,Lumina este pornită.
It's undeniably the best method.,"Fără îndoială, asta este cea mai bună metodă."
Tom is extremely ambitious.,Tom este extrem de ambițios.
Don't mislead me.,Nu mă înșela.
"You don't know why Tom didn't come yesterday, do you?","Nu știi de ce nu a venit Tom ieri, așa e?"
The road is blocked because of an accident.,Drumul a fost închis din cauza accidentului.
Tom was treated fairly.,Tom a fost tratat corect.
They accused him of telling a lie.,Ei l-au acuzat de minciună.
Please respond at your earliest convenience.,Vă rog să răspundeți cât mai curând posibil.
Tom showed reckless disregard for Mary's feelings.,Tom a etalat o lipsă de respect pentru sentimentele Mariei.
"That's good, isn't it?","E bine, așa e?"
I thought I heard gunshots.,Credeam că am auzit focuri de armă.
Tom lost his hotel room key.,Tom și-a pierdut cheia de la camera de hotel.
I'm not afraid of death.,Nu-mi e frică de moarte.
Call this number.,Sună la acest număr.
The situation is getting better.,Situația se îmbunătățește.
Tom died when he was seventy years old.,Tom a murit când avea șaptezeci de ani.
I think it's time for me to contact him by phone.,Cred că e vremea să-l contactez prin telefon.
Are you seriously thinking about getting involved?,Te gândești serios să te implici?
"I could be wrong, but I think Tom wants to go home early.","S-ar putea să mă înşel, dar cred că Tom vrea să meargă acasă devreme."
Unemployment is rising.,Șomajul este în creștere.
The dog seems sick.,Câinele pare bolnav.
The effects of the medicine were wearing off.,Efectele doctoriei se atenuau.
Tom registered to become an organ donor.,Tom s-a înscris pentru a deveni un donator de organe.
Be honest with me.,Fii cinstit cu mine.
"Tom sat in an armchair, reading a book.","Tom stătea într-un fotoliu, citind o carte."
She advised him to walk instead of taking a bus.,Ea l-a sfătuit să meargă pe jos în loc să ia un autobuz.
That's the absolute truth.,Ăsta e adevărul absolut.
Tom should be in school.,Tom ar trebui să fie la școală.
This custom dates from the Edo period.,Acest obicei datează din era Edo.
I'm sick of all the complaints.,M-am săturat de toate plângerile.
"Large, isn't it?","Întins, nu-i așa?"
This is an impressive technological achievement.,Aceasta este o realizare tehnologică impresionantă.
You'd better not speak.,Ar fi bine să nu vorbești.
He is unsociable.,Este nesociabil.
May I take a photo?,Pot să fac o fotografie?
Their proposal is out of the question.,Propunerea lor este în afara oricărei discuții.
Nobody can solve this problem.,Nimeni nu poate rezolva această problemă.
"As a rule, he arrives at the office about eight-thirty in morning.","Ca o regulă, ajunge la biroul pe la opt jumătate dimineaţa."
We'll learn the truth soon.,Vom învăța adevărul în curând.
Few students know how to read Latin.,Puțini studenți știu să citească în latină.
The two nations have strong trade ties.,Cele două națiuni au legături economice strânse.
I haven't seen Tom since 1988.,Nu l-am mai văzut pe Tom din 1988.
I really like trains.,Îmi plac trenurile cu adevărat.
She loves to fish.,Ei îi place să pescuiască.
When will you be free?,Când vei fi liber?
I have a headache.,Mă doare capul.
"Even though I studied English for 6 years in school, I'm not good at speaking it.","Chiar dacă am studiat engleza timp de 6 ani în școală, nu mă descurc să vorbesc."
She went to the museum by cab.,Ea a luat un taxi până la muzeu.
Tom and Mary are very happy.,Tom și Mary sunt foarte fericiți.
Drive carefully.,Condu prudent.
"At that time, the territory belonged to Spain.",Pe atunci teritoriul aparținea Spaniei.
I am not getting involved.,Nu mă bag.
Perhaps Tom is too old to do this kind of thing.,Poate că Tom e prea în vârstă ca să facă un astfel de lucru.
I think Tom swears too much.,Eu cred că Tom înjură prea mult.
I've thought about you lot.,M-am gândit mult la tine.
The cat which you found is mine.,Pisica pe care ai găsit-o este a mea.
Drive carefully.,Condu cu atenție.
I am feeling dizzy.,Mă simt ameţit.
Their trip was postponed because of the rain.,Călătoria lor a fost amânată din cauza ploii.
I hope spring sticks around just a little bit longer. I hate summers.,Sper ca primăvara să mai stea un pic pe-aici. Urăsc verile.
He let us go.,El ne-a lăsat să mergem.
She became a teacher when she was twenty.,Ea a devenit profesoară când avea douăzeci de ani.
Tom was a public servant.,Tom a fost funcționar public.
Nobody had anything more to say.,Nimeni nu a avut ceva în plus de spus.
"When we started out, there were things we didn't know.","Când noi am început, erau lucruri pe care nu le cunoșteam."
Tom was reluctant to leave.,Tom era reticent în a pleca.
I've been working there for three months.,Lucrez acolo de trei luni.
You must study your whole life.,Trebuie să studiaţi toată viaţa voastră.
He sat in front of me.,El ședea în fața mea.
Social attitudes oftentimes take generations to change.,"De multe ori, durează generații până ca atitudinile sociale să se schimbe."
"You've been drinking, haven't you?","Ai băut, nu-i aşa?"
This doesn't mean anything.,Nu înseamnă nimic!
The doctor advised Tom to stop drinking.,Doctorul l-a sfătuit pe Tom să nu mai bea.
"You didn't see Tom, did you?","Nu l-ai văzut pe Tom, așa-i?"
Tom asked me if I liked Mary.,Tom m-a întrebat dacă o plac pe Mary.
He arrived in time.,A ajuns la timp.
Within a few minutes Tom had eaten up all the food on the table.,"În câteva minute, Tom mâncase toată mâncarea de pe masă."
Trade friction might arise between the two nations at any moment.,Fricțiuni comerciale pot să apară între cele două națiuni în orice moment.
"Could you spell that for me, please?","Ați putea să o spuneți pe litere pentru mine, vă rog?"
She has changed greatly since I last saw her.,S-a schimbat mult de când am văzut-o ultima oară.
Tom pulled three bills out of his wallet.,Tom a scos trei bancnote din portofel.
Don't keep the bicycle in the barn.,Nu ține bicicleta în hambar.
I missed supper.,Am sărit peste cină.
He can speak both English and French very well.,El poate vorbi foarte bine atât engleza cât și franceza.
There is some truth in that.,Este puțin adevăr în asta.
This beer contains 5% alcohol.,Această bere conține 5% alcool.
That's preposterous.,E absurd.
His career as a journalist was full of distinguished achievements.,Cariera sa ca jurnalist a fost plină de realizări remarcabile.
I don't like sitting by the window.,Nu-mi place să stau la fereastră.
He was not a man to be disheartened by a single failure.,El nu era omul care să se lase descurajat de un singur eșec.
I'm doubtful.,Am dubii.
There was only one case of chicken pox at the school.,A fost doar un singur caz de varicelă la școală.
Italo Calvino returned to Italy when he was still just a boy.,Italo Calvino s-a întors în Italia când era încă doar un copil.
I think Tom should go.,Cred că Tom ar trebui să plece.
Tom doesn't know why Mary isn't here today.,Tom nu știe de ce Mary nu este astăzi aici.
We heard someone go upstairs.,Noi am auzit pe cineva care mergea mai sus.
We've got to talk.,Trebuie să vorbim.
Base jumping is an extreme sport.,Bungee jumping este un sport extrem.
I don't care a bit about the future.,Nu-mi pasă chiar deloc despre viitor.
Tom isn't going to be at the conference.,Tom nu va fi la conferință.
Tom and Mary were on the same wavelength.,Tom și Mary erau pe aceeași lungime de undă.
Something's wrong here.,E ceva în neregulă aici.
My favorite dance is the tango.,Dansul meu favorit este tangoul.
He will be free tomorrow.,El va fi liber mâine.
I've taken the first step.,Am făcut primul pas.
No one helped me.,Nimeni nu m-a ajutat.
We'll use anything we can.,Vom folosi tot ce putem.
"I'll recommend him as chairman, whether you are in favor of it or not.","Îl recomand ca preşedinte, fie că eşti pentru sau împotrivă."
Be honest with me.,Fii sincer cu mine.
It hurts.,Mă doare.
It's easy.,E uşor.
What should I tell Tom now?,Ce ar trebui să-i spun lui Tom acum?
I hope that all your dreams come true.,Sper că toate visele tale să devină realitate.
Don't forget to put a stamp on your letter.,Nu uita să pui un timbru pe scrisoarea ta.
Who made this pie?,Cine a făcut plăcinta asta?
The man had just returned from a visit to Europe.,Bărbatul tocmai s-a întors dintr-o vizită în Europa.
How deep is the lake?,Cât de adânc este lacul?
I like the way you smile.,Îmi place cum zâmbești.
Do you speak Spanish?,Vorbiţi spaniola?
Tom shelled the shrimp.,Tom a curățat creveții de coajă.
Smoking is very bad for your health.,Fumatul este foarte dăunător pentru sănătatea dumneavoastră.
Tom laughed at Mary's joke.,Tom a râs la gluma Mariei.
Let's meet on Tuesday.,Să ne întâlnim marți.
Hold on to the rope.,Ține-te de frânghie.
I think it's time for me to get a job.,Cred că e vremea pentru mine să-mi iau o slujbă.
I can go to your house tomorrow.,Pot să merg la tine acasă mâine.
This is a real breakthrough.,Aceasta este o descoperire adevărată.
I'll get in touch with you as soon as I return from America.,Te voi contacta imediat după ce mă întorc din America.
He resolved to turn over a new leaf.,A luat decizia să înceapă o nouă viaţă.
I'm not unsympathetic about what you're going through.,Nu sunt nepăsător față de ceea ce ți se întâmplă.
She makes it a rule to read a newspaper after breakfast.,A devenit o regulă pentru ea să citească un ziar după micul dejun.
I think Tom has been wrongfully accused.,Cred că Tom a fost acuzat pe nedrept.
The lake is frozen.,Lacul este înghețat.
I'm going to church.,Mă duc la biserică.
The archer killed the deer.,Arcașul a ucis căprioara.
Tom told everyone he was safe.,Tom le-a spus tuturor că este în siguranță.
They had no food.,Ei nu aveau nicio mâncare.
I'm having second thoughts.,Am îndoieli.
It seems interesting to me.,Îmi pare interesant!
Could you show me that?,Poți să-mi arăți aia?
I want to live in a big city.,Vreau să locuiesc într-un oraş mare.
I just said something very stupid.,Tocmai am spus ceva foarte stupid.
When will it end?,Când se va termina aceasta?
I'm in a really bad mood.,Chiar sunt într-o pasă proastă.
Tom doesn't like the same kind of music as Mary does.,Lui Tom nu-i place același gen de muzică ca Mary.
Tom is on good terms with John.,Tom are o relație bună cu John.
Do you have safety deposit boxes?,Ai casete de valori?
My brother wants to go to the moon some day.,Fratele meu vrea să meargă pe lună cândva.
This fish smells bad.,Acest peşte miroase urât.
I go to church every day.,Mă duc la biserică în fiecare zi.
We'll have to do something.,Va trebui să facem ceva.
You'll find nothing here.,Nu vei găsi nimic aici.
I don't want to go if you don't go with me.,Nu vreau să merg dacă nu mergi cu mine.
The captain ordered his men to gather at once.,Căpitanul le-a ordonat oamenilor săi să se adune imediat.
What are you cooking?,Ce gătiți?
We played basketball yesterday.,Ieri am jucat baschet.
This hat suits me nicely.,Această pălărie îmi vine bine.
Have you finished it?,Ai terminat-o?
I have lost my umbrella.,Mi-am pierdut umbrela.
Brigham Young continued to lead the Mormon church.,Brigham Young a continuat să conducă biserica mormonilor.
It is almost three.,Este aproape ora trei.
What do you intend to do with that?,Ce intenționezi să faci cu asta?
I don't have anyone who'd travel with me.,N-am pe nimeni care ar călători cu mine.
It is our duty to obey the law.,Este datoria noastră să respectăm legea.
Do you have a table on the patio?,Ai o masă pe terasă?
Why are you asking Tom?,De ce îl întrebi pe Tom?
Summer holiday begins in July.,Vacanţa de vară incepe în iulie.
I hope your plan will work out.,Sper ca planul tău să funcţioneze.
How far is it to the airport?,Cât e până la aeroport?
He is happy.,El este fericit.
Everyone admires the pictures painted by him.,Toată lumea admiră picturile sale.
Almost everyone came.,Aproape toată lumea a venit.
She was susceptible to colds.,Ea este predispusă la răceli.
These plums are ripe.,Aceste prune sunt coapte.
The police recovered the stolen money.,Poliția a recuperat banii furați.
I wrote down her address so that I wouldn't forget it.,I-am notat adresa ca să nu o uit.
Did you miss me?,Ți-a fost dor de mine?
I believe this fish is a freshwater fish.,Cred că acest pește este un pește de apă dulce.
Diplomatic relations have not yet been established between Japan and North Korea.,Relaţiile diplomatice nu au fost încă stabilite între Japonia şi Coreea de Nord.
This song makes me think of when I was young.,Acest când mă face să mă gândesc la când eram tânăr.
Why did I have to be here?,De ce a trebuit să fiu aici?
I found it later.,Am găsit-o mai târziu.
Who is their homeroom teacher?,Cine e dirigintele lor?
Tom doesn't like to make mistakes.,Lui Tom nu-i place să facă greșeli.
My father bought a new car.,Tatăl meu a cumpărat o mașină nouă.
More than half of the Union troops were captured.,Mai mult de jumătate din trupele Uniunii au fost capturate.
We're in the house.,Suntem în casă.
He was forced to work overtime.,El a fost forțat să lucreze peste program.
This watch was given me by my uncle.,Acest ceas mi-a fost dat de către unchiul meu.
My older sister goes jogging every day.,Sora mea cea mare practică fuga în fiecare zi.
My little brother is watching TV.,Fratele meu cel mic se uită la televizor.
Things are getting worse.,Lucrurile se înrăutățesc.
We could see the helicopter hovering above the pond.,Noi puteam vedea elicopterul zburând deasupra lacului.
Please come back at once.,Te rog să te întorci de-ndată.
He attributed his success to hard work.,El consideră succesul său ca fiind o urmare a muncii grele.
Tom doesn't know where to wait for Mary.,Tom nu știe unde să o aștepte pe Mary.
We waited there all night.,Am așteptat acolo toată noaptea.
This is the hospital where I was born.,Acesta este spitalul în care m-am născut.
They are going shopping.,Ei o să meargă la cumpărături.
I can't put up with his violence any longer.,Nu mă mai pot pune cu violenţa lui.
No one knows his name.,Nimeni nu-i cunoaște numele.
I saw a house with a red roof.,Am văzut o casă cu un acoperiș roșu.
Tom is mature.,Tom este matur.
The police looked everywhere and could find no trace of Tom.,Poliția s-a uitat peste tot și nu a putut da de urma lui Tom.
I'm sorry I lost my temper.,Îmi pare rău că mi-am pierdut stăpânirea de sine.
Do you believe in the existence of ghosts?,Crezi în existența fantomelor?
I don't think Tom knows where Mary parked her car.,Nu cred că Tom știe unde și-a parcat Mary mașina.
I can ski.,Pot să schiez.
Are they American?,Ei sunt americani?
It was no accident.,Nu a fost un accident.
Who is the author of this book?,Cine este autorul acestei carți?
I chickened out.,M-am speriat.
The cat is adorable.,Pisica este adorabilă.
I love reading books.,Îmi place să citesc cărți.
I need to go into town.,Trebuie să mă duc în oraș.
Tom can't get around without a wheelchair.,Tom nu se poate deplasa fără un scaun cu rotile.
Everybody laughed.,Toți au râs.
Tom and Mary talked for hours.,Tom și Mary au discutat ore în șir.
Tom has rabbits.,Tom are iepuri.
Something is the matter with him today.,Ceva nu este în regulă cu el astăzi.
Tom had Mary wash the car.,Tom i-a cerut lui Mary să spele mașina.
We don't need your money.,Nu avem nevoie de banii tăi.
Why do you ask?,De ce întrebi?
I don't know who wrote this letter.,Nu știu cine a scris această scrisoare.
I have absolutely no intention of paying ten dollars.,Nu am absolut nicio intenție să plătesc zece dolari.
Tom lost his way.,Tom și-a pierdut drumul.
Where were you born?,Unde te-ai nascut?
Her idea is better than yours.,Idea ei e mai bună ca a ta.
I would like some fish.,Aș vrea niște pește.
I got accustomed to living alone.,M-am obișnuit să trăiesc singură.
Anyone can do it.,Oricine poate să o facă.
We'll just have to wait and see how things pan out.,Trebuie să așteptăm și să vedem cum evoluează lucrurile.
Electrical appliances have made housework easier.,Aparatele electrice au făcut activitățile casnice mai ușoare.
It's never been done before.,Nu a mai fost încercat niciodată.
Tom's father is a musician.,Tatăl lui Tom e muzician.
I'll see you next month.,Te voi vedea luna ce vine.
I was lenient.,Am fost îngăduitor.
What do you know about this place?,Ce știi despre acest loc?
She is now eighty-one years old.,Ea are optzeci și unu de ani.
World War II ended in 1945.,Al Doilea Război Mondial s-a sfârșit în 1945.
Allied forces were attacking from the west.,Forţele aliate atacau dinspre vest.
I paid about 50 bucks.,Am plătit aproape 50 de dolari.
Tom is very unhappy.,Tom este foarte nefericit.
Don't drop that glass.,Nu scăpa paharul ăla.
We have to start.,Trebuie să începem.
Tom never goes anywhere without his phone.,Tom nu merge nicăieri fără telefonul său.
I want somebody else.,Vreau pe altcineva.
Don't you move from here.,Nu te mișca de aici.
Quality is more important than quantity.,Calitatea este mai importantă decât cantitatea.
Mistakes like these are easily overlooked.,Greseli ca acestea sunt ușor de trecut cu vederea.
Tom doesn't know when Mary will come.,Tom nu știe când va veni Mary.
I liked them before they were cool.,Îmi plăceau înainte ca ei să fie mișto.
Tom hasn't told me anything.,Tom nu mi-a spus nimic.
I like candlelight.,Îmi place lumina lumânărilor.
Don't bother to call Tom.,Nu te obosi să-l chemi pe Tom.
